UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Connecticut Actual Load (MW),Maine Actual Load (MW),New Hampshire Actual Load (MW),Northeast Massachusetts Actual Load (MW),Rhode Island Actual Load (MW),Southeast Massachusetts Actual Load (MW),Vermont Actual Load (MW),Western/Central Massachusetts Actual Load (MW)
1/3/2024 11:00,1/3/2024 5:00,1/3/2024 6:00,1/3/2024,6,3040.482,1340.606,1266.409,2578.508,820.335,1566.884,600.299,1802.924
1/3/2024 12:00,1/3/2024 6:00,1/3/2024 7:00,1/3/2024,7,3401.261,1483.168,1413.467,2838.712,901.063,1749.902,668.285,1999.1
1/3/2024 13:00,1/3/2024 7:00,1/3/2024 8:00,1/3/2024,8,3614.04,1558.418,1501.696,2997.427,947.949,1837.636,720.947,2132.994
1/3/2024 14:00,1/3/2024 8:00,1/3/2024 9:00,1/3/2024,9,3619.253,1564.226,1516.188,3009.634,939.548,1793.794,727.435,2152.302
1/3/2024 15:00,1/3/2024 9:00,1/3/2024 10:00,1/3/2024,10,3457.447,1532.611,1481.227,2948.609,911.236,1709.642,716.47,2063.798
1/3/2024 16:00,1/3/2024 10:00,1/3/2024 11:00,1/3/2024,11,3301.028,1481.903,1442.966,2879.63,874.943,1609.054,696.469,2019.911
1/3/2024 17:00,1/3/2024 11:00,1/3/2024 12:00,1/3/2024,12,3246.164,1450.469,1434.38,2787.962,880.842,1535.24,684.754,1993.195
1/3/2024 18:00,1/3/2024 12:00,1/3/2024 13:00,1/3/2024,13,3264.285,1448.994,1446.475,2825.203,874.212,1521.715,684.611,1998.957
1/3/2024 19:00,1/3/2024 13:00,1/3/2024 14:00,1/3/2024,14,3373.27,1465.067,1470.162,2875.682,870.917,1568.652,694.38,2046.491
1/3/2024 20:00,1/3/2024 14:00,1/3/2024 15:00,1/3/2024,15,3461.967,1482.96,1469.615,2938.414,885.393,1652.319,702.26,2068.217
1/3/2024 21:00,1/3/2024 15:00,1/3/2024 16:00,1/3/2024,16,3544.699,1510.331,1483.616,2986.41,910.903,1757.556,720.907,2101.235
1/3/2024 22:00,1/3/2024 16:00,1/3/2024 17:00,1/3/2024,17,3728.449,1577.261,1556.683,3111.942,977.854,1911.201,751.414,2223.351
1/3/2024 23:00,1/3/2024 17:00,1/3/2024 18:00,1/3/2024,18,3910.454,1634.175,1622.144,3197.805,1026.686,2010.951,777.137,2294.963
1/4/2024 0:00,1/3/2024 18:00,1/3/2024 19:00,1/3/2024,19,3896.202,1597.641,1597.186,3129.456,1020.947,1999.826,768.394,2260.374
1/4/2024 1:00,1/3/2024 19:00,1/3/2024 20:00,1/3/2024,20,3775.824,1539.516,1542.458,3048.486,993.587,1946.536,743.794,2194.099
1/4/2024 2:00,1/3/2024 20:00,1/3/2024 21:00,1/3/2024,21,3619.664,1464.614,1471.373,2948.936,954.495,1862.974,710.36,2102.251
1/4/2024 3:00,1/3/2024 21:00,1/3/2024 22:00,1/3/2024,22,3392.468,1365.033,1367.138,2796.782,896.815,1740.408,675.673,1986.155
1/4/2024 4:00,1/3/2024 22:00,1/3/2024 23:00,1/3/2024,23,3095.316,1261.568,1253.823,2597.033,826.139,1590.294,631.415,1831.184
1/4/2024 5:00,1/3/2024 23:00,1/4/2024 0:00,1/3/2024,24,2859.006,1186.742,1162.56,2409.477,770.891,1463.04,585.294,1708.263
1/5/2024 6:00,1/5/2024 0:00,1/5/2024 1:00,1/5/2024,1,2989.445,1290.444,1268.929,2553.411,796.238,1500.657,682.297,1789.417
1/5/2024 7:00,1/5/2024 1:00,1/5/2024 2:00,1/5/2024,2,2889.416,1280.22,1242.327,2493.112,778.464,1477.142,667.323,1749.873
1/5/2024 8:00,1/5/2024 2:00,1/5/2024 3:00,1/5/2024,3,2874.425,1264.392,1232.643,2475.4,768.474,1463.223,664.523,1735.009
1/5/2024 9:00,1/5/2024 3:00,1/5/2024 4:00,1/5/2024,4,2885.477,1276.773,1243.441,2489.542,775.225,1468.254,661.385,1744.016
1/5/2024 10:00,1/5/2024 4:00,1/5/2024 5:00,1/5/2024,5,2961.713,1316.113,1282.667,2562.749,793.606,1518.21,677.976,1790.664
1/5/2024 11:00,1/5/2024 5:00,1/5/2024 6:00,1/5/2024,6,3197.868,1398.559,1377.975,2762.202,840.714,1629.934,714.177,1920.224
1/5/2024 12:00,1/5/2024 6:00,1/5/2024 7:00,1/5/2024,7,3496.182,1563.552,1525.792,3017.047,929.458,1819.887,781.286,2114.817
1/5/2024 13:00,1/5/2024 7:00,1/5/2024 8:00,1/5/2024,8,3747.34,1657.803,1625.903,3202.329,984.521,1925.24,820.411,2234.421
1/5/2024 14:00,1/5/2024 8:00,1/5/2024 9:00,1/5/2024,9,3708.368,1616.707,1630.745,3232.447,984.956,1891.697,817.974,2199.093
1/5/2024 15:00,1/5/2024 9:00,1/5/2024 10:00,1/5/2024,10,3491.751,1529.083,1591.044,3178.655,965.658,1790.374,800.782,2094.888
1/5/2024 16:00,1/5/2024 10:00,1/5/2024 11:00,1/5/2024,11,3339.161,1468.932,1550.247,3086.921,945.018,1692.769,784.855,2016.835
1/5/2024 17:00,1/5/2024 11:00,1/5/2024 12:00,1/5/2024,12,3220.099,1424.921,1520.968,3018.879,919.03,1625.932,764.26,1945.316
1/5/2024 18:00,1/5/2024 12:00,1/5/2024 13:00,1/5/2024,13,3189.112,1385.939,1506.994,2990.035,906.259,1596.166,758.047,1945.457
