ags,year,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,zentrum,cdu_csu,far_right,far_left,far_left_w_linke
3033,1953,3,Niedersachsen,43151,39776,38640,1136,0.921786285,0.204746581,0,0.378067176,,0.029942679,,,,,,,,,,,0,0.027076629,,,0.010634553,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.158537812,,,,,,,,,,0.158914924,,,,0.00351971,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.204746581,0.027076629,0.010634553,0.010634553
3034,1953,3,Niedersachsen,54304,48562,47618,944,0.894261933,0.444977554,0,0.306144722,,0.081421688,,,,,,,,,,,0,0.028746757,,,0.010872699,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.039804786,,,,,,,,,,0.048556484,,,,0.020036242,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.444977554,0.028746757,0.010872699,0.010872699
3035,1953,3,Niedersachsen,60334,55859,53888,1971,0.925829549,0.216760057,0,0.387457706,,0.058880395,,,,,,,,,,,0,0.022055533,,,0.009810416,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.117402746,,,,,,,,,,0.149340303,,,,0.003007573,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.216760057,0.022055533,0.009810416,0.009810416
3036,1953,3,Niedersachsen,25913,24110,23630,480,0.930421024,0.643425964,0,0.130111987,,0.064827872,,,,,,,,,,,0,0.004852758,,,0.003193696,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.035006221,,,,,,,,,,0.097262547,,,,0.001410203,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.643425964,0.004852758,0.003193696,0.003193696
3037,1953,3,Niedersachsen,30155,27680,27003,677,0.917924059,0.198916185,0,0.352926301,,0.098916185,,,,,,,,,,,0,0.051445087,,,0.007803468,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.121820809,,,,,,,,,,0.138619942,,,,0.005093931,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.198916185,0.051445087,0.007803468,0.007803468
3038,1953,3,Niedersachsen,39767,36502,35275,1227,0.917896749,0.269875623,0,0.321160484,,0.182565339,,,,,,,,,,,0,0.027724508,,,0.004712071,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.045339981,,,,,,,,,,0.111418552,,,,0.003588844,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.269875623,0.027724508,0.004712071,0.004712071
3039,1953,3,Niedersachsen,52725,46737,45767,970,0.886429587,0.384598926,0,0.228619723,,0.210090506,,,,,,,,,,,0,0.039326444,,,0.007617091,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.040845583,,,,,,,,,,0.058219398,,,,0.009927894,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.384598926,0.039326444,0.007617091,0.007617091
3040,1953,3,Niedersachsen,75804,70867,69023,1844,0.934871511,0.360717965,0,0.306955282,,0.04052662,,,,,,,,,,,0,0.014985819,,,0.00795857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.048160639,,,,,,,,,,0.188578605,,,,0.006095926,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.360717965,0.014985819,0.00795857,0.00795857
3041,1953,3,Niedersachsen,60859,55676,54322,1354,0.914835932,0.251957756,0,0.371416768,,0.077968963,,,,,,,,,,,0,0.058481213,,,0.010309649,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.054242402,,,,,,,,,,0.147514189,,,,0.003789784,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.251957756,0.058481213,0.010309649,0.010309649
3042,1953,3,Niedersachsen,30858,27915,27096,819,0.904627649,0.236969371,0,0.375819452,,0.150779151,,,,,,,,,,,0,0.02668816,,,0.016120365,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.063012717,,,,,,,,,,0.097796883,,,,0.003474834,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.236969371,0.02668816,0.016120365,0.016120365
3043,1953,3,Niedersachsen,65741,59961,58585,1376,0.91207922,0.23735428,0,0.334967729,,0.149297043,,,,,,,,,,,0,0.020780174,,,0.005770417,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.092660229,,,,,,,,,,0.134087157,,,,0.002134721,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.23735428,0.020780174,0.005770417,0.005770417
