company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Kiena Gold Mines Ltd.,Placer Dome Inc.,,,,,Kiena,Val d’Or ,Quebec,48.120858,-77.917978,1936,1996,2005,2013,2021,open,Gold,Gold,,,,,,,,"Contradictory information: ""1981
• Production begins, Kiena gold mine, Val-d’Or, Quebec"" from https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf",0,0,1,https://www.mindat.org/loc-195148.html,https://plus.lapresse.ca/screens/4549dde9-a343-488b-9ad8-1d67d6f58eda%7C_0.html,https://www.canadianminingjournal.com/featured-article/wesdome-reopens-kiena-mine/
Elder Mines Ltd. ,Peel-Elder Mine Ltd.,Abcourt Mines Inc.,,,,Peel-Elder,Beauchastel,Quebec,48.286378,-79.130486,1944,1966,2016,open,,,"Gold, Silver, Copper, Lead, Silica",Gold,Silver,Copper,Lead,Silica,,,,,0,0,1,https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf,https://www.mindat.org/loc-256811.html,
Mclntyre Coal Mines Ltd.,CST Canada Coal Limited,Up Energy Development Group Ltd.,,,,,Grande Cache ,Alberta,53.93860907,-119.1783886,1967,1972,2004,2015,2018,2020,Coal,Coal,,,,,,,,,0,0,1,https://www.gem.wiki/Grande_Cache_Coal,,
Cusac Industries Ltd. ,Erikson Gold Mining Corp.,Total Erikson Resources Ltd.,,,,"Table Mountain, Cassiar Gold Property, Erikson, Jennie,(…) McDame Lake",Cassiar,British Columbia,59.195555,-129.68499,1978,1988,1994,2007,,,"Gold, Silver, Zinc, Lead, Copper, Antimony, Bismuth, Cadmium",Gold,Silver,Zinc,Lead,Copper,Antimony,Bismuth,Cadmium,Lots of prospection and sampling since then,0,0,1,https://minfile.gov.bc.ca/summary.aspx?minfilno=104P%20%20029,,
Ressources Nottaway Inc.,,,,,,Vezza,,Quebec,49.5329,-77.76671,1986,1988,1993,1997,2016,2019,"Gold, Silver",Gold,Silver,,,,,,,Also other periods with significan exploration at the mine.,0,0,1,https://www.sec.gov/Archives/edgar/data/887701/000114420411019323/v215932_ex1-1.htm,,
Conuma Coal Resources Ltd.,"Walter Energy, Inc.",,,,,Wolverine or Perry Creek,,British Columbia,55.0861,-121.2453,2006,2014,2017,open,,,Coal,Coal,,,,,,,,https://www.gem.wiki/Wolverine_mine,0,0,1,,,
Bighorn Mining Ltd.,,,,,,Vista,,Alberta,53.403506,-117.36642,2019,open,,,,,Coal,Coal,,,,,,,,Possibly producing for a period before,0,0,1,https://thenarwhal.ca/alberta-coal-mine-vista-coalspur-finances/,,
Graybec Inc.,Graybec Calc Inc.,,,,,Domlin,Marbleton,Quebec,45.617966,-71.604558,1824,open,,,,,Lime,Lime,,,,,,,,,0,0,1,https://gq.mines.gouv.qc.ca/documents/examine/DV200102/DV200102.pdf,,
Johnson's Asbestos Co. ,Asbestos Corporation Inc. ,,,,,,Thetford Mines ,Quebec,46.07861,-71.30056,1878,1964,,,,,Asbestos,Asbestos,,,,,,,,,0,0,1,https://www.brownlawyers.ca/canadian-asbestos-mines.html,https://www.mindat.org/loc-207981.html,
McKinney Gold Mines Ltd.,Pioneer Gold Mines of B.C. Ltd,Highland-Bell Ltd.,,,,Cariboo-Amelia or Camps McKinney Gold,,British Columbia,49.0625,-119.13861,1887,1962,,,,,"Gold, Silver, Lead, Zinc, Copper, Pyrophyllite, Silica",Gold,Silver,Lead,Zinc,Copper,Pyrophyllite,Silica,,many more producers listed here https://minfile.gov.bc.ca/summary.aspx?minfilno=082ESW020,0,0,1,https://minfile.gov.bc.ca/summary.aspx?minfilno=082ESW020,https://www.ximenminingcorp.com/project/amelia-gold-mine/,
