Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Atractaspididae,Amblyodipsas microphthalma,35,,,roundish,rear-fanged,venomous bite – potentially dangerous,,eastern purple glossed snake
Atractaspididae,Amblyodipsas polylepis,111,81.5,,roundish,rear-fanged,venomous bite – potentially dangerous,,common purple glossed snake
Atractaspididae,Amblyodipsas rodhaini,44,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Rodhain's purple glossed snake
Atractaspididae,Amblyodipsas teitana,43,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Teitana purple glossed snake
Atractaspididae,Amblyodipsas unicolor,114,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Western glossy snake
Atractaspididae,Amblyodipsas ventrimaculata,48,7.4,,roundish,rear-fanged,venomous bite – potentially dangerous,,Kalahari purple glossed snake
Typhlopidae,Amerotyphlops amoipira,,,,vestigial eyes,non-fanged,non-venomous,,Amoipira Blind Snake
Typhlopidae,Amerotyphlops arenensis,,,,vestigial eyes,non-fanged,non-venomous,,Areia worm snake
Typhlopidae,Amerotyphlops brongersmianus,,,,vestigial eyes,non-fanged,non-venomous,,Brongersma's Worm Snake
Typhlopidae,Amerotyphlops caetanoi,,,,vestigial eyes,,,,
Typhlopidae,Amerotyphlops costaricensis,,,,vestigial eyes,non-fanged,non-venomous,,Costa Rica Worm Snake
Typhlopidae,Amerotyphlops illusorium,,,,vestigial eyes,,,,
Typhlopidae,Amerotyphlops lehneri,,,,vestigial eyes,non-fanged,non-venomous,,Estado Falcón Worm Snake
Typhlopidae,Amerotyphlops martis,,,,vestigial eyes,,,,
Typhlopidae,Amerotyphlops microstomus,,,,vestigial eyes,non-fanged,non-venomous,,Yucatecan Worm Snake
Typhlopidae,Amerotyphlops minuisquamus,27.3,16.5,,vestigial eyes,non-fanged,non-venomous,,Basin Worm Snake
Typhlopidae,Amerotyphlops montanum,,,,vestigial eyes,,,,
Typhlopidae,Amerotyphlops paucisquamus,,,,vestigial eyes,non-fanged,non-venomous,,Pernambuco Worm Snake
Typhlopidae,Amerotyphlops reticulatus,25.6,22,,vestigial eyes,non-fanged,non-venomous,,Reticulate Worm Snake
Typhlopidae,Amerotyphlops stadelmani,,,,vestigial eyes,non-fanged,non-venomous,,Stadelman's Worm Snake
Typhlopidae,Amerotyphlops tasymicris,22.7,1.9,,vestigial eyes,non-fanged,non-venomous,,Grenada Worm Snake
Typhlopidae,Amerotyphlops tenuis,,,,vestigial eyes,non-fanged,non-venomous,,Coffee Worm Snake
Typhlopidae,Amerotyphlops trinitatus,,,,vestigial eyes,non-fanged,non-venomous,,Trinidad Worm Snake
Typhlopidae,Amerotyphlops tycherus,,,,vestigial eyes,non-fanged,non-venomous,,Santa Barbara Blind Snake
Typhlopidae,Amerotyphlops yonenagae,,,,vestigial eyes,non-fanged,non-venomous,,Yonenga Worm Snake
Colubridae,Amnesteophis melanauchen,,,,vertical slit,rear-fanged,unclear toxicity,,Bahia Black naped Snake
Colubridae,Amnisiophis amoenus,,,,,rear-fanged,unclear toxicity,,East Brazilian Leaf litter Snake
Colubridae,Amphiesma monticola,50,,,roundish,rear-fanged,unclear toxicity,,Wynad Keelback
Colubridae,Amphiesma stolatum,90,55.7,,roundish,rear-fanged,venomous bite – potentially dangerous,oviparous,Buff Striped Keelback
Colubridae,Amphiesmoides ornaticeps,100,,,roundish,rear-fanged,unclear toxicity,,Werner's Ornate Snake
Pseudoxyrhophiidae,Amplorhinus multimaculatus,80,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Cape many spotted snake
Typhlopidae,Anilios affinis,22,,,vestigial eyes,non-fanged,non-venomous,,Small headed Blind Snake
Typhlopidae,Anilios ammodytes,23,,,vestigial eyes,non-fanged,non-venomous,,Sand dwelling blind snake
Typhlopidae,Anilios aspina,23.5,,,vestigial eyes,non-fanged,non-venomous,,Round tailed blind snake
Typhlopidae,Anilios australis,50,48,,vestigial eyes,non-fanged,non-venomous,,Southern Blind Snake
Typhlopidae,Anilios batillus,32,,,vestigial eyes,non-fanged,non-venomous,,Batillus Blind Snake
Typhlopidae,Anilios bicolor,27.5,10.4,,vestigial eyes,non-fanged,non-venomous,,Two colored Blind Snake
Typhlopidae,Anilios bituberculatus,33.3,3.4,,vestigial eyes,non-fanged,non-venomous,,Prong snouted Blind Snake
Typhlopidae,Anilios broomi,12.5,,,vestigial eyes,non-fanged,non-venomous,,Faint striped Blind Snake
Typhlopidae,Anilios centralis,30.6,,,vestigial eyes,non-fanged,non-venomous,,Centralian Blind Snake
Typhlopidae,Anilios chamodracaena,21,,,vestigial eyes,non-fanged,non-venomous,,Cape York Striped Blind Snake
Typhlopidae,Anilios diversus,21.2,,,vestigial eyes,non-fanged,non-venomous,,Northern Blind Snake
Typhlopidae,Anilios endoterus,23.5,,,vestigial eyes,non-fanged,non-venomous,,Interior Blind Snake
Typhlopidae,Anilios erycinus,35,,,vestigial eyes,non-fanged,non-venomous,,Northern New Guinea blind snake
Typhlopidae,Anilios fossor,,,,vestigial eyes,non-fanged,non-venomous,,Miner blind snake
Typhlopidae,Anilios ganei,,,,vestigial eyes,non-fanged,non-venomous,,Cathedral Gorge Blind Snake
Typhlopidae,Anilios grypus,45,,,vestigial eyes,non-fanged,non-venomous,,long beaked Blind Snake
Typhlopidae,Anilios guentheri,14.2,,,vestigial eyes,non-fanged,non-venomous,,Top End Blind Snake
Typhlopidae,Anilios hamatus,,,,vestigial eyes,non-fanged,non-venomous,,Pale headed Blind Snake
Typhlopidae,Anilios howi,21,,,vestigial eyes,non-fanged,non-venomous,,Kimberley deep soil Blind Snake
Typhlopidae,Anilios insperatus,,,,vestigial eyes,non-fanged,non-venomous,,Fassifern blind snake
Typhlopidae,Anilios kimberleyensis,29.6,,,vestigial eyes,non-fanged,non-venomous,,Kimberley Shallow soil Blind Snake
Typhlopidae,Anilios leptosoma,28.2,,,vestigial eyes,non-fanged,non-venomous,,Murchison Blind Snake
Typhlopidae,Anilios leucoproctus,22,,,vestigial eyes,non-fanged,non-venomous,,White tailed blind snake
Typhlopidae,Anilios ligatus,50,,,vestigial eyes,non-fanged,non-venomous,,Robust Blind Snake
Typhlopidae,Anilios longissimus,26.8,,,vestigial eyes,non-fanged,non-venomous,,Barrow Island Blind Snake
Typhlopidae,Anilios margaretae,30.6,,,vestigial eyes,non-fanged,non-venomous,,Buff snouted Blind Snake
Typhlopidae,Anilios micromma,20.5,,,vestigial eyes,non-fanged,non-venomous,,Small eyed Blind Snake
Typhlopidae,Anilios minimus,17,,,vestigial eyes,non-fanged,non-venomous,,Groote Dwarf Blind Snake
Typhlopidae,Anilios nema,26.8,,,vestigial eyes,non-fanged,non-venomous,,Fannie Bay Blind Snake
Typhlopidae,Anilios nigrescens,75,,,vestigial eyes,non-fanged,non-venomous,,Blackish Blind Snake
Typhlopidae,Anilios obtusifrons,,,,vestigial eyes,non-fanged,non-venomous,,blunt snouted blind snake
Typhlopidae,Anilios pilbarensis,24.1,,,vestigial eyes,non-fanged,non-venomous,,Pilbara Beaked Blind Snake
Typhlopidae,Anilios pinguis,34.8,,,vestigial eyes,non-fanged,non-venomous,,Rotund Blind Snake
Typhlopidae,Anilios proximus,,,,vestigial eyes,non-fanged,non-venomous,,Proximus Blind Snake
Typhlopidae,Anilios robertsi,29,,,vestigial eyes,non-fanged,non-venomous,,Romeo Creek Blind Snake
Typhlopidae,Anilios silvia,17.5,,,vestigial eyes,non-fanged,non-venomous,,Great Sandy Blind Snake
Typhlopidae,Anilios splendidus,51.2,,,vestigial eyes,non-fanged,non-venomous,,Milyering Well Blind Snake
Typhlopidae,Anilios systenos,,,,vestigial eyes,non-fanged,non-venomous,,Sharp snouted blind snake
Typhlopidae,Anilios torresianus,,,,vestigial eyes,non-fanged,non-venomous,,Southern New Guinea blind snake
Typhlopidae,Anilios tovelli,12.2,,,vestigial eyes,non-fanged,non-venomous,,Darwin Blind Snake
Typhlopidae,Anilios troglodytes,40.2,,,vestigial eyes,non-fanged,non-venomous,,Sandamara Blind Snake
Typhlopidae,Anilios unguirostris,45,,,vestigial eyes,non-fanged,non-venomous,,Claw snouted Blind Snake
Typhlopidae,Anilios vagurima,,,,vestigial eyes,,,,
Typhlopidae,Anilios waitii,,,,vestigial eyes,non-fanged,non-venomous,,Beaked Blind Snake
Typhlopidae,Anilios wiedii,24.5,,,vestigial eyes,non-fanged,non-venomous,,Brown snouted Blind Snake
Typhlopidae,Anilios yampiensis,12.8,,,vestigial eyes,non-fanged,non-venomous,,Yampi Blind Snake
Typhlopidae,Anilios yirrikalae,,,,vestigial eyes,non-fanged,non-venomous,,Yirrkala Blind Snake
Typhlopidae,Anilios zonula,,,,vestigial eyes,non-fanged,non-venomous,,West Kimberley blind snake
Aniliidae,Anilius scytale,90,,,"indiscernible,roundish",non-fanged,non-venomous,ovoviviparous,South american pipe snake
Anomalepididae,Anomalepis aspinosus,,,,vestigial eyes,non-fanged,non-venomous,,Taylor's Peru Blind Snake
Anomalepididae,Anomalepis colombia,17.2,,,vestigial eyes,non-fanged,non-venomous,,Caldas Blind Snake
Anomalepididae,Anomalepis flavapices,14.6,,,vestigial eyes,non-fanged,non-venomous,,Ecuador Blind Snake
Anomalepididae,Anomalepis mexicana,13,,,vestigial eyes,non-fanged,non-venomous,,Mexican Blind Snake
Anomochilidae,Anomochilus leonardi,39,,,,non-fanged,non-venomous,,Leonard's pipe snake
Anomochilidae,Anomochilus monticola,52.2,,,roundish,non-fanged,non-venomous,,mountain pipe snake
Anomochilidae,Anomochilus weberi,,,,,non-fanged,non-venomous,,Weber's pipe snake
Colubridae,Anoplohydrus aemulans,43,,,roundish,rear-fanged,unclear toxicity,,Sumatran Keelback
Elapidae,Antaioserpens albiceps,,,,indiscernible,front-fanged,venomous bite – unknown dangerousness,,Northeastern plain nosed burrowing snake
Elapidae,Antaioserpens warro,45,,,indiscernible,front-fanged,venomous bite – unknown dangerousness,oviparous,North eastern Plain nosed Burrowing Snake
Pythonidae,Antaresia childreni,150,,,vertical slit,non-fanged,non-venomous constrictor – potentially dangerous,oviparous,Children's Python
Pythonidae,Antaresia maculosa,150,530,,vertical slit,non-fanged,non-venomous constrictor – potentially dangerous,oviparous,spotted python
Pythonidae,Antaresia papuensis,117.1,,,,,non-venomous constrictor – potentially dangerous,,
Pythonidae,Antaresia perthensis,76.9,339,,,non-fanged,non-venomous constrictor – harmless to humans,oviparous,Pygmy Python
Typhlopidae,Antillotyphlops annae,,,,vestigial eyes,non-fanged,non-venomous,,Saint Barts blind snake
Typhlopidae,Antillotyphlops catapontus,,,,vestigial eyes,non-fanged,non-venomous,,Erica's Worm Snake
Typhlopidae,Antillotyphlops dominicanus,,,,vestigial eyes,non-fanged,non-venomous,,Dominican Worm Snake
Typhlopidae,Antillotyphlops geotomus,,,,vestigial eyes,non-fanged,non-venomous,,Montiserrat Worm Snake
Typhlopidae,Antillotyphlops granti,,,,vestigial eyes,non-fanged,non-venomous,,Grant's Worm Snake
Typhlopidae,Antillotyphlops guadeloupensis,,,,vestigial eyes,non-fanged,non-venomous,,Guadeloupe Worm Snake
Typhlopidae,Antillotyphlops hypomethes,,,,vestigial eyes,non-fanged,non-venomous,,Puerto Rican Coastal blind snake
Typhlopidae,Antillotyphlops monastus,,,,vestigial eyes,non-fanged,non-venomous,,Montiserrat Worm Snake
Typhlopidae,Antillotyphlops monensis,,,,vestigial eyes,non-fanged,non-venomous,,Mona Worm Snake
Typhlopidae,Antillotyphlops naugus,,,,vestigial eyes,non-fanged,non-venomous,,Erica's Worm Snake
Typhlopidae,Antillotyphlops platycephalus,,,,vestigial eyes,non-fanged,non-venomous,,Flathead Worm Snake
Typhlopidae,Antillotyphlops richardi,,,,vestigial eyes,non-fanged,non-venomous,,Ground Snake
Atractaspididae,Aparallactus capensis,41,,,roundish,rear-fanged,venomous bite – harmless to humans,oviparous,Cape centipede eater
Atractaspididae,Aparallactus guentheri,47,,,roundish,rear-fanged,venomous bite – harmless to humans,,Uluguru Centipede Eater
Atractaspididae,Aparallactus jacksonii,30,,,roundish,rear-fanged,venomous bite – harmless to humans,,Jackson's centipede eater
Atractaspididae,Aparallactus lineatus,61,,,roundish,rear-fanged,venomous bite – harmless to humans,,lined centipede eater
Atractaspididae,Aparallactus lunulatus,53,,,roundish,rear-fanged,venomous bite – harmless to humans,oviparous,reticulated centipede eater
Atractaspididae,Aparallactus modestus,64.5,,,roundish,non-fanged,venomous bite – harmless to humans,,western forest centipede eater
Atractaspididae,Aparallactus moeruensis,39,,,roundish,rear-fanged,venomous bite – harmless to humans,,Zaire centipede eater
Atractaspididae,Aparallactus niger,61,,,roundish,rear-fanged,venomous bite – harmless to humans,,black centipede eater
Atractaspididae,Aparallactus nigriceps,34,,,roundish,rear-fanged,venomous bite – harmless to humans,,Mozambique centipede eater
Atractaspididae,Aparallactus turneri,20,,,roundish,rear-fanged,venomous bite – harmless to humans,,Malindi centipede eater
Atractaspididae,Aparallactus werneri,39,,,roundish,rear-fanged,venomous bite – harmless to humans,,Usambara centipede eater
Pareidae,Aplopeltura boa,90,,,"roundish,vertical slit",rear-fanged,non-venomous,,Blunthead Slug Snake
Pythonidae,Apodora papuana,513,22500,,vertical slit,,non-venomous constrictor – dangerous,,
